id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15752626.0,Martin,675.0,France,Female,48.0,7.0,143582.89,2.0,0.0,0.0,93844.82,1.0
1,15797960.0,Pagnotto,673.0,France,Female,37.0,7.0,0.0,2.0,0.0,0.0,170980.86,0.0
2,15672056.0,T'an,607.0,France,Male,29.0,4.0,0.0,2.0,0.0,1.0,61290.99,0.0
3,15733169.0,Chukwufumnanya,669.0,France,Female,28.0,2.0,0.0,2.0,1.0,0.0,97734.3,0.0
4,15795519.0,Hsing,743.0,France,Male,24.0,7.0,0.0,2.0,1.0,0.0,180800.42,0.0
5,15756475.0,Liao,641.0,France,Male,30.0,4.0,0.0,2.0,1.0,0.0,93717.55,0.0
6,15658889.0,Maclean,586.0,France,Female,50.0,3.0,0.0,3.0,1.0,0.0,139919.38,1.0
7,15611105.0,Lu,543.0,Spain,Female,35.0,3.0,0.0,2.0,1.0,1.0,143598.7,0.0
8,15598846.0,Nwachinemelu,815.0,France,Female,52.0,5.0,0.0,2.0,1.0,1.0,162511.55,0.0
9,15594928.0,Kline,509.0,France,Male,29.0,8.0,0.0,2.0,0.0,0.0,134420.75,0.0
10,15812878.0,Udinese,616.0,France,Female,38.0,9.0,0.0,1.0,1.0,0.0,56865.62,1.0
11,15739972.0,Nwabugwu,687.0,Spain,Male,27.0,7.0,126428.22,1.0,1.0,0.0,112333.22,0.0
12,15713604.0,Nott,633.0,France,Male,33.0,3.0,0.0,2.0,1.0,0.0,107811.28,0.0
13,15752409.0,Lucciano,715.0,Spain,Male,66.0,9.0,0.0,1.0,1.0,1.0,173511.72,0.0
14,15731569.0,Tien,775.0,Germany,Male,32.0,5.0,124723.92,2.0,1.0,0.0,147059.16,0.0
15,15678427.0,K?,708.0,France,Male,45.0,3.0,0.0,1.0,1.0,0.0,139979.38,1.0
16,15642619.0,Chidubem,599.0,Spain,Male,35.0,1.0,0.0,1.0,1.0,0.0,139919.38,0.0
17,15758510.0,Martin,717.0,Germany,Male,30.0,6.0,87541.06,1.0,1.0,0.0,69052.87,0.0
18,15770121.0,Nwabugwu,663.0,Spain,Male,57.0,7.0,0.0,1.0,1.0,0.0,72993.65,1.0
19,15650751.0,Nwoye,554.0,Spain,Female,40.0,1.0,0.0,1.0,1.0,1.0,142935.83,1.0
20,15607312.0,H?,573.0,Spain,Female,41.0,5.0,0.0,2.0,1.0,1.0,100722.72,0.0
21,15588535.0,Walker,850.0,Germany,Female,52.0,4.0,98894.39,3.0,1.0,1.0,134901.58,1.0
22,15592994.0,Houghton,685.0,Germany,Male,51.0,3.0,158633.61,2.0,1.0,1.0,171060.01,0.0
23,15671348.0,Yermakov,663.0,France,Female,32.0,3.0,0.0,2.0,1.0,1.0,88827.67,0.0
24,15800806.0,Macintyre,762.0,France,Male,41.0,10.0,0.0,2.0,1.0,1.0,179908.71,0.0
25,15714260.0,Zetticci,538.0,Germany,Female,57.0,8.0,122471.09,1.0,1.0,0.0,706.5,1.0
26,15709441.0,Hsia,484.0,Germany,Female,45.0,7.0,113674.2,1.0,0.0,0.0,180712.52,1.0
27,15595440.0,Milne,644.0,Germany,Female,39.0,9.0,79450.09,1.0,1.0,0.0,114874.23,1.0
28,15732672.0,Chukwualuka,602.0,Spain,Female,38.0,2.0,151097.28,1.0,1.0,1.0,100564.37,0.0
29,15736069.0,Zikoranachidimma,535.0,France,Female,31.0,8.0,0.0,2.0,1.0,1.0,53954.24,0.0
30,15792668.0,Ch'eng,683.0,France,Male,60.0,7.0,0.0,1.0,1.0,0.0,93739.71,1.0
31,15790689.0,Ugoji,711.0,France,Female,35.0,6.0,0.0,2.0,1.0,0.0,180591.32,0.0
32,15607178.0,Lo Duca,671.0,France,Male,45.0,4.0,0.0,2.0,1.0,0.0,89519.47,0.0
33,15609637.0,Chiazagomekpere,678.0,France,Male,41.0,8.0,135070.57,1.0,1.0,0.0,125906.83,0.0
34,15742210.0,Chibuzo,554.0,Germany,Female,43.0,0.0,102773.2,1.0,1.0,1.0,141756.32,1.0
35,15803764.0,Milani,597.0,Germany,Female,24.0,6.0,136416.82,2.0,0.0,0.0,167984.72,0.0
36,15771857.0,Hsiung,836.0,Germany,Female,38.0,9.0,139874.52,2.0,1.0,1.0,85876.67,0.0
37,15726589.0,Mao,726.0,Germany,Female,63.0,4.0,154543.98,1.0,0.0,0.0,58816.56,1.0
38,15670584.0,Tuan,721.0,Spain,Male,30.0,7.0,0.0,2.0,1.0,0.0,168886.39,0.0
39,15689671.0,Zikoranachidimma,627.0,Spain,Female,40.0,8.0,0.0,1.0,1.0,0.0,161811.23,1.0
40,15592877.0,Ch'in,669.0,France,Male,37.0,1.0,0.0,2.0,1.0,0.0,99792.82,0.0
41,15802351.0,Hs?,633.0,France,Male,31.0,7.0,0.0,2.0,0.0,0.0,151902.78,0.0
42,15798850.0,Nwachukwu,619.0,France,Male,36.0,8.0,123692.0,2.0,1.0,1.0,62390.59,0.0
43,15682533.0,Nnamutaezinwa,686.0,France,Female,34.0,4.0,0.0,2.0,1.0,0.0,74048.1,0.0
